Drug Usage Group, Things to do in free time,Education Level,Year,Percentage
Non-drug-taking students,Surf the Internet,Post-secondary,2020/21,65.7
Non-drug-taking students,Watch TV / listen to the radio or music,Post-secondary,2020/21,59.5
Non-drug-taking students,Hang around at home / sleep ,Post-secondary,2020/21,59.3
Non-drug-taking students,Chat / play with family,Post-secondary,2020/21,44
Non-drug-taking students,Watch movies,Post-secondary,2020/21,54.1
Non-drug-taking students,Shopping / wander on streets,Post-secondary,2020/21,44.4
Non-drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Post-secondary,2020/21,38.3
Non-drug-taking students,Read books,Post-secondary,2020/21,40
Non-drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Post-secondary,2020/21,25.2
Non-drug-taking students,Read comics,Post-secondary,2020/21,27.8
Non-drug-taking students,Play in friends’ and relatives’ home,Post-secondary,2020/21,18
Non-drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Post-secondary,2020/21,10.6
Non-drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Post-secondary,2020/21,14.3
Non-drug-taking students,Participate in voluntary work,Post-secondary,2020/21,10.4
Non-drug-taking students,Participate in church / religious activities,Post-secondary,2020/21,7.3
Non-drug-taking students,Go to cyber cafes / electronic games centres,Post-secondary,2020/21,3.3
Non-drug-taking students,Others,Post-secondary,2020/21,0.7
All students,Chat with friends,Post-secondary,2023/24,67
All students,Play electronic games at home ,Post-secondary,2023/24,44.7
All students,Surf the Internet,Post-secondary,2023/24,56.4
All students,Watch TV / listen to the radio or music,Post-secondary,2023/24,44.8
